#Graph gt5.kmer27.(2395000.2400000).V9.E14.mincyc2
14,14,5
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       27
solved_safety: True
#Graph gt5.kmer27.(525000.530000).V12.E18.mincyc1
18,18,5
time_default: 0.07563648908399045
solved_default: True
time_safety:               0.0688514590729028
edge_variables=1:          22
edge_variables>=1:         3
preprocess_safety:         0.0006080358289182186
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2430000.2435000).V12.E19.mincyc4
19,19,5
time_default: 0.21984927006997168
solved_default: True
time_safety:               0.07986651291139424
edge_variables=1:          13
edge_variables>=1:         6
preprocess_safety:         0.0007585401181131601
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       10
solved_safety: True
#Graph gt5.kmer27.(3150000.3155000).V7.E11.mincyc1
11,11,5
time_default: 0.04252041317522526
solved_default: True
time_safety:               0.04597921296954155
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003794850781559944
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(3100000.3105000).V15.E23.mincyc6
23,23,5
time_default: 0.16538372891955078
solved_default: True
time_safety:               0.08810631604865193
edge_variables=1:          20
edge_variables>=1:         8
preprocess_safety:         0.0008809808641672134
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       12
solved_safety: True
#Graph gt5.kmer27.(735000.740000).V63.E90.mincyc100
90,90,5
time_default: 0.6059797599446028
solved_default: True
time_safety:               0.38544061011634767
edge_variables=1:          28
edge_variables>=1:         27
preprocess_safety:         0.004802603041753173
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       50
solved_safety: True
#Graph gt5.kmer27.(3630000.3635000).V6.E10.mincyc1
10,10,5
time_default: 0.04100720095448196
solved_default: True
time_safety:               0.035394910955801606
edge_variables=1:          19
edge_variables>=1:         1
preprocess_safety:         0.00033460091799497604
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       1
solved_safety: True
#Graph gt5.kmer27.(3420000.3425000).V7.E11.mincyc1
11,11,5
time_default: 0.03745406283996999
solved_default: True
time_safety:               0.03291517705656588
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00037481612525880337
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(4230000.4235000).V11.E17.mincyc3
17,17,5
time_default: 0.09486268204636872
solved_default: True
time_safety:               0.056305799866095185
edge_variables=1:          19
edge_variables>=1:         8
preprocess_safety:         0.0006280839443206787
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       8
solved_safety: True
#Graph gt5.kmer27.(780000.785000).V41.E60.mincyc28
60,60,5
time_default: 0.5058513220865279
solved_default: True
time_safety:               0.2374241400975734
edge_variables=1:          26
edge_variables>=1:         16
preprocess_safety:         0.002709898864850402
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       31
solved_safety: True
#Graph gt5.kmer27.(130000.135000).V110.E152.mincyc5
152,152,4
time_default: 0.7000604390632361
solved_default: True
time_safety:               0.537034756038338
edge_variables=1:          78
edge_variables>=1:         3
preprocess_safety:         0.011074315989390016
number_of_nontrivial_SCCs: 3
size_of_largest_SCC:       10
solved_safety: True
#Graph gt5.kmer27.(3705000.3710000).V9.E14.mincyc1
14,14,5
time_default: 0.06860591704025865
solved_default: True
time_safety:               0.05423819296993315
edge_variables=1:          20
edge_variables>=1:         3
preprocess_safety:         0.000500854104757309
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(3955000.3960000).V8.E13.mincyc1
13,13,5
time_default: 0.05835369089618325
solved_default: True
time_safety:               0.04681205307133496
edge_variables=1:          17
edge_variables>=1:         2
preprocess_safety:         0.0004580230452120304
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       4
solved_safety: True
#Graph gt5.kmer27.(3040000.3045000).V8.E13.mincyc2
13,13,5
time_default: 0.058961356058716774
solved_default: True
time_safety:               0.047348625026643276
edge_variables=1:          19
edge_variables>=1:         6
preprocess_safety:         0.00041181594133377075
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(4025000.4030000).V7.E11.mincyc1
11,11,5
time_default: 0.038997191935777664
solved_default: True
time_safety:               0.03540688403882086
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00036603002808988094
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(3605000.3610000).V15.E23.mincyc8
23,23,5
time_default: 0.18425594409927726
solved_default: True
time_safety:               0.09796589193865657
edge_variables=1:          19
edge_variables>=1:         9
preprocess_safety:         0.0009258459322154522
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       14
solved_safety: True
#Graph gt5.kmer27.(1690000.1695000).V7.E11.mincyc1
11,11,5
time_default: 0.05012026010081172
solved_default: True
time_safety:               0.04103384097106755
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00036666099913418293
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2380000.2385000).V16.E25.mincyc7
25,25,5
time_default: 0.2054268028587103
solved_default: True
time_safety:               0.09769467078149319
edge_variables=1:          19
edge_variables>=1:         6
preprocess_safety:         0.0011292588897049427
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       16
solved_safety: True
#Graph gt5.kmer27.(2570000.2575000).V7.E11.mincyc1
11,11,5
time_default: 0.046143123181536794
solved_default: True
time_safety:               0.04670903994701803
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00036554899998009205
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2660000.2665000).V7.E11.mincyc1
11,11,5
time_default: 0.04837680282071233
solved_default: True
time_safety:               0.041265418054535985
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00037663988769054413
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(3790000.3795000).V13.E19.mincyc4
19,19,5
time_default: 0.08831121306866407
solved_default: True
time_safety:               0.062000395031645894
edge_variables=1:          19
edge_variables>=1:         7
preprocess_safety:         0.0006968730594962835
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       10
solved_safety: True
#Graph gt5.kmer27.(4000000.4005000).V16.E23.mincyc8
23,23,5
time_default: 0.10798096214421093
solved_default: True
time_safety:               0.0743424198590219
edge_variables=1:          19
edge_variables>=1:         9
preprocess_safety:         0.0008821028750389814
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       14
solved_safety: True
#Graph gt5.kmer27.(1390000.1395000).V7.E11.mincyc1
11,11,5
time_default: 0.0428072651848197
solved_default: True
time_safety:               0.044323251815512776
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00036302395164966583
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(810000.815000).V34.E47.mincyc64
47,47,5
time_default: 0.28639822895638645
solved_default: True
time_safety:               0.196192316012457
edge_variables=1:          26
edge_variables>=1:         14
preprocess_safety:         0.0021837959066033363
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       26
solved_safety: True
#Graph gt5.kmer27.(2070000.2075000).V7.E11.mincyc1
11,11,5
time_default: 0.05501857283525169
solved_default: True
time_safety:               0.04115839581936598
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00038484600372612476
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2635000.2640000).V13.E19.mincyc4
19,19,5
time_default: 0.09090111521072686
solved_default: True
time_safety:               0.07140647596679628
edge_variables=1:          19
edge_variables>=1:         7
preprocess_safety:         0.0006867251358926296
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       10
solved_safety: True
#Graph gt5.kmer27.(1650000.1655000).V21.E32.mincyc11
32,32,5
time_default: 0.26888062921352684
solved_default: True
time_safety:               0.13306773197837174
edge_variables=1:          19
edge_variables>=1:         14
preprocess_safety:         0.0013096979819238186
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       12
solved_safety: True
#Graph gt5.kmer27.(325000.330000).V12.E17.mincyc4
17,17,4
time_default: 0.060498242964968085
solved_default: True
time_safety:               0.04277203790843487
edge_variables=1:          15
edge_variables>=1:         7
preprocess_safety:         0.0006333538331091404
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       10
solved_safety: True
#Graph gt5.kmer27.(805000.810000).V21.E30.mincyc1
30,30,5
time_default: 0.11873360117897391
solved_default: True
time_safety:               0.10554214380681515
edge_variables=1:          28
edge_variables>=1:         3
preprocess_safety:         0.0012350680772215128
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2560000.2565000).V7.E11.mincyc1
11,11,5
time_default: 0.04285535495728254
solved_default: True
time_safety:               0.038172597996890545
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003825109452009201
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(4245000.4250000).V6.E10.mincyc1
10,10,5
time_default: 0.045998590067029
solved_default: True
time_safety:               0.03797706007026136
edge_variables=1:          19
edge_variables>=1:         1
preprocess_safety:         0.00034112296998500824
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       1
solved_safety: True
#Graph gt5.kmer27.(3120000.3125000).V7.E11.mincyc1
11,11,5
time_default: 0.045459705172106624
solved_default: True
time_safety:               0.038403973914682865
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003628339618444443
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(1040000.1045000).V15.E22.mincyc1
22,22,5
time_default: 0.08055182616226375
solved_default: True
time_safety:               0.07246484095230699
edge_variables=1:          24
edge_variables>=1:         3
preprocess_safety:         0.0007490420248359442
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(720000.725000).V15.E22.mincyc2
22,22,5
time_default: 0.09706362104043365
solved_default: True
time_safety:               0.089452053187415
edge_variables=1:          22
edge_variables>=1:         5
preprocess_safety:         0.0007656030356884003
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(3250000.3255000).V11.E17.mincyc3
17,17,5
time_default: 0.0862967751454562
solved_default: True
time_safety:               0.06531216786243021
edge_variables=1:          19
edge_variables>=1:         10
preprocess_safety:         0.000625319080427289
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       8
solved_safety: True
#Graph gt5.kmer27.(2100000.2105000).V8.E13.mincyc2
13,13,5
time_default: 0.049909232184290886
solved_default: True
time_safety:               0.04415648803114891
edge_variables=1:          20
edge_variables>=1:         3
preprocess_safety:         0.0004312519449740648
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(930000.935000).V21.E30.mincyc2
30,30,5
time_default: 0.1236424739472568
solved_default: True
time_safety:               0.11504563898779452
edge_variables=1:          26
edge_variables>=1:         6
preprocess_safety:         0.001047353958711028
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(730000.735000).V36.E50.mincyc64
50,50,5
time_default: 0.2505911020562053
solved_default: True
time_safety:               0.18070347816683352
edge_variables=1:          26
edge_variables>=1:         15
preprocess_safety:         0.002100770128890872
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       26
solved_safety: True
#Graph gt5.kmer27.(1745000.1750000).V7.E11.mincyc1
11,11,5
time_default: 0.05429932801052928
solved_default: True
time_safety:               0.03853334812447429
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00037510693073272705
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2650000.2655000).V7.E11.mincyc1
11,11,5
time_default: 0.046526616206392646
solved_default: True
time_safety:               0.040852650068700314
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00037235207855701447
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(4005000.4010000).V7.E11.mincyc1
11,11,5
time_default: 0.04284489597193897
solved_default: True
time_safety:               0.03839225205592811
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00036688195541501045
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(1085000.1090000).V9.E14.mincyc1
14,14,5
time_default: 0.048329062992706895
solved_default: True
time_safety:               0.04388639912940562
edge_variables=1:          20
edge_variables>=1:         3
preprocess_safety:         0.000502296956256032
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(695000.700000).V61.E85.mincyc100
85,85,5
time_default: 0.46520097693428397
solved_default: True
time_safety:               0.3349474589340389
edge_variables=1:          26
edge_variables>=1:         35
preprocess_safety:         0.0042779038194566965
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       50
solved_safety: True
#Graph gt5.kmer27.(3875000.3880000).V7.E11.mincyc1
11,11,5
time_default: 0.04410900897346437
solved_default: True
time_safety:               0.03811878594569862
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003845449537038803
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(4495000.4500000).V7.E11.mincyc1
11,11,5
time_default: 0.045715647051110864
solved_default: True
time_safety:               0.03824047604575753
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003716300707310438
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(1095000.1100000).V19.E29.mincyc6
29,29,5
time_default: 0.2541311550885439
solved_default: True
time_safety:               0.11121289385482669
edge_variables=1:          19
edge_variables>=1:         9
preprocess_safety:         0.0011821580119431019
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       11
solved_safety: True
#Graph gt5.kmer27.(1270000.1275000).V39.E54.mincyc2
54,54,5
time_default: 0.20625519496388733
solved_default: True
time_safety:               0.16923888679593801
edge_variables=1:          38
edge_variables>=1:         5
preprocess_safety:         0.002269769087433815
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(2640000.2645000).V7.E11.mincyc1
11,11,5
time_default: 0.047497496008872986
solved_default: True
time_safety:               0.040763852186501026
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00037271203473210335
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(1565000.1570000).V9.E14.mincyc2
14,14,5
time_default: 0.07708970014937222
solved_default: True
time_safety:               0.04721438209526241
edge_variables=1:          19
edge_variables>=1:         6
preprocess_safety:         0.0004659690894186497
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       5
solved_safety: True
#Graph gt5.kmer27.(1255000.1260000).V30.E45.mincyc100
45,45,5
time_default: 0.27364011108875275
solved_default: True
time_safety:               0.18134301411919296
edge_variables=1:          19
edge_variables>=1:         16
preprocess_safety:         0.002149272011592984
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       34
solved_safety: True
#Graph gt5.kmer27.(4075000.4080000).V7.E11.mincyc1
11,11,5
time_default: 0.0513247309718281
solved_default: True
time_safety:               0.03840025793761015
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00036624004133045673
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(4125000.4130000).V10.E15.mincyc2
15,15,5
time_default: 0.05833976482972503
solved_default: True
time_safety:               0.049956121016293764
edge_variables=1:          19
edge_variables>=1:         5
preprocess_safety:         0.0005756050813943148
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(1265000.1270000).V23.E33.mincyc16
33,33,5
time_default: 0.19500778405927122
solved_default: True
time_safety:               0.12351198890246451
edge_variables=1:          20
edge_variables>=1:         11
preprocess_safety:         0.001264113001525402
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       18
solved_safety: True
#Graph gt5.kmer27.(375000.380000).V20.E31.mincyc6
31,31,5
time_default: 0.16558042098768055
solved_default: True
time_safety:               0.10063023585826159
edge_variables=1:          19
edge_variables>=1:         9
preprocess_safety:         0.0013024150393903255
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       10
solved_safety: True
#Graph gt5.kmer27.(2565000.2570000).V7.E11.mincyc1
11,11,5
time_default: 0.04927308298647404
solved_default: True
time_safety:               0.04087125486694276
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003764089196920395
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(1770000.1775000).V7.E11.mincyc1
11,11,5
time_default: 0.040081716841086745
solved_default: True
time_safety:               0.035619294969365
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00037495698779821396
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2520000.2525000).V11.E17.mincyc3
17,17,5
time_default: 0.09602637588977814
solved_default: True
time_safety:               0.06390997511334717
edge_variables=1:          20
edge_variables>=1:         7
preprocess_safety:         0.0006147690583020449
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       5
solved_safety: True
#Graph gt5.kmer27.(2980000.2985000).V10.E15.mincyc2
15,15,5
time_default: 0.06536901509389281
solved_default: True
time_safety:               0.0542384940199554
edge_variables=1:          19
edge_variables>=1:         6
preprocess_safety:         0.0005429340526461601
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(3015000.3020000).V7.E11.mincyc1
11,11,5
time_default: 0.045754299964755774
solved_default: True
time_safety:               0.038391249952837825
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003693259786814451
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2815000.2820000).V16.E25.mincyc15
25,25,5
time_default: 0.16582855908200145
solved_default: True
time_safety:               0.08230118383653462
edge_variables=1:          19
edge_variables>=1:         9
preprocess_safety:         0.0010498079936951399
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       16
solved_safety: True
#Graph gt5.kmer27.(135000.140000).V103.E140.mincyc1
140,140,4
time_default: 0.5424300211016089
solved_default: True
time_safety:               0.45171405491419137
edge_variables=1:          76
edge_variables>=1:         3
preprocess_safety:         0.009609504835680127
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(3135000.3140000).V14.E21.mincyc4
21,21,5
time_default: 0.08664809796027839
solved_default: True
time_safety:               0.07653646706603467
edge_variables=1:          20
edge_variables>=1:         5
preprocess_safety:         0.0007927450351417065
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       9
solved_safety: True
#Graph gt5.kmer27.(1665000.1670000).V24.E36.mincyc60
36,36,5
time_default: 0.4656753418967128
solved_default: True
time_safety:               0.13070334494113922
edge_variables=1:          19
edge_variables>=1:         10
preprocess_safety:         0.0018531528767198324
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       27
solved_safety: True
#Graph gt5.kmer27.(345000.350000).V27.E40.mincyc9
40,40,5
time_default: 0.2333301438484341
solved_default: True
time_safety:               0.15553999412804842
edge_variables=1:          26
edge_variables>=1:         10
preprocess_safety:         0.0016389901284128428
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       13
solved_safety: True
#Graph gt5.kmer27.(4300000.4305000).V7.E11.mincyc1
11,11,5
time_default: 0.05251746019348502
solved_default: True
time_safety:               0.0443272409029305
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00037400517612695694
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2515000.2520000).V8.E13.mincyc2
13,13,5
time_default: 0.06412221491336823
solved_default: True
time_safety:               0.047135123051702976
edge_variables=1:          19
edge_variables>=1:         6
preprocess_safety:         0.0004364729393273592
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(725000.730000).V24.E35.mincyc4
35,35,5
time_default: 0.14939351798966527
solved_default: True
time_safety:               0.10767023707740009
edge_variables=1:          26
edge_variables>=1:         8
preprocess_safety:         0.0013230540789663792
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       11
solved_safety: True
#Graph gt5.kmer27.(3665000.3670000).V8.E13.mincyc2
13,13,5
time_default: 0.05930068716406822
solved_default: True
time_safety:               0.04433929291553795
edge_variables=1:          19
edge_variables>=1:         5
preprocess_safety:         0.00043277605436742306
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       4
solved_safety: True
#Graph gt5.kmer27.(800000.805000).V20.E30.mincyc6
30,30,5
time_default: 0.1339066349901259
solved_default: True
time_safety:               0.10527732619084418
edge_variables=1:          22
edge_variables>=1:         9
preprocess_safety:         0.0011336570605635643
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       14
solved_safety: True
#Graph gt5.kmer27.(2745000.2750000).V20.E33.mincyc33
33,33,5
time_default: 0.33199313189834356
solved_default: True
time_safety:               0.1100984439253807
edge_variables=1:          19
edge_variables>=1:         10
preprocess_safety:         0.0015402741264551878
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       22
solved_safety: True
#Graph gt5.kmer27.(2225000.2230000).V14.E21.mincyc6
21,21,5
time_default: 0.10306919296272099
solved_default: True
time_safety:               0.07319831498898566
edge_variables=1:          19
edge_variables>=1:         8
preprocess_safety:         0.0007851000409573317
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       12
solved_safety: True
#Graph gt5.kmer27.(2645000.2650000).V7.E11.mincyc1
11,11,5
time_default: 0.04443974304012954
solved_default: True
time_safety:               0.04672783589921892
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00036903610453009605
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(1290000.1295000).V15.E22.mincyc8
22,22,5
time_default: 0.09394366107881069
solved_default: True
time_safety:               0.07202295889146626
edge_variables=1:          19
edge_variables>=1:         6
preprocess_safety:         0.0008454939816147089
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       13
solved_safety: True
#Graph gt5.kmer27.(1870000.1875000).V7.E11.mincyc1
11,11,5
time_default: 0.049427744932472706
solved_default: True
time_safety:               0.04114063293673098
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00037482590414583683
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2655000.2660000).V16.E25.mincyc15
25,25,5
time_default: 0.1822186759673059
solved_default: True
time_safety:               0.0890610869973898
edge_variables=1:          19
edge_variables>=1:         9
preprocess_safety:         0.001097699860110879
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       16
solved_safety: True
#Graph gt5.kmer27.(2315000.2320000).V7.E12.mincyc1
12,12,5
time_default: 0.05984795792028308
solved_default: True
time_safety:               0.047132948879152536
edge_variables=1:          17
edge_variables>=1:         1
preprocess_safety:         0.00043447897769510746
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(140000.145000).V149.E201.mincyc1
201,201,4
time_default: 0.9111173269338906
solved_default: True
time_safety:               0.8217727558221668
edge_variables=1:          100
edge_variables>=1:         3
preprocess_safety:         0.01693191798403859
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(1275000.1280000).V7.E11.mincyc1
11,11,5
time_default: 0.04726441693492234
solved_default: True
time_safety:               0.038612817879766226
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00038512609899044037
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(3560000.3565000).V33.E48.mincyc100
48,48,5
time_default: 0.5354333850555122
solved_default: True
time_safety:               0.17788842390291393
edge_variables=1:          19
edge_variables>=1:         16
preprocess_safety:         0.002396276919171214
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       39
solved_safety: True
#Graph gt5.kmer27.(2805000.2810000).V10.E15.mincyc2
15,15,5
time_default: 0.06072903913445771
solved_default: True
time_safety:               0.04994908790104091
edge_variables=1:          19
edge_variables>=1:         5
preprocess_safety:         0.0005185569170862436
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(4285000.4290000).V7.E11.mincyc1
11,11,5
time_default: 0.04648045892827213
solved_default: True
time_safety:               0.038485236931592226
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003612211439758539
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2050000.2055000).V29.E43.mincyc100
43,43,5
solved_default: None
time_safety:               0.16439425689168274
edge_variables=1:          19
edge_variables>=1:         14
preprocess_safety:         0.002169691026210785
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       34
solved_safety: True
#Graph gt5.kmer27.(590000.595000).V19.E28.mincyc6
28,28,5
time_default: 0.2729615750722587
solved_default: True
time_safety:               0.10032581281848252
edge_variables=1:          22
edge_variables>=1:         4
preprocess_safety:         0.0011627417989075184
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       15
solved_safety: True
#Graph gt5.kmer27.(2970000.2975000).V8.E13.mincyc1
13,13,5
time_default: 0.06737612001597881
solved_default: True
time_safety:               0.04708295501768589
edge_variables=1:          17
edge_variables>=1:         2
preprocess_safety:         0.0004809959791600704
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       4
solved_safety: True
#Graph gt5.kmer27.(2355000.2360000).V10.E15.mincyc2
15,15,5
time_default: 0.07458718307316303
solved_default: True
time_safety:               0.057138810865581036
edge_variables=1:          19
edge_variables>=1:         5
preprocess_safety:         0.0005451471079140902
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(440000.445000).V12.E18.mincyc2
18,18,5
time_default: 0.06966330204159021
solved_default: True
time_safety:               0.059235604014247656
edge_variables=1:          20
edge_variables>=1:         5
preprocess_safety:         0.000617695041000843
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(2305000.2310000).V20.E31.mincyc11
31,31,5
time_default: 0.37595468503423035
solved_default: True
time_safety:               0.11775601003319025
edge_variables=1:          19
edge_variables>=1:         8
preprocess_safety:         0.009403537027537823
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       22
solved_safety: True
#Graph gt5.kmer27.(4360000.4365000).V7.E11.mincyc1
11,11,5
time_default: 0.04266250296495855
solved_default: True
time_safety:               0.03591660596430302
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00037405500188469887
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(1800000.1805000).V10.E15.mincyc2
15,15,5
time_default: 0.06455306801944971
solved_default: True
time_safety:               0.050016093999147415
edge_variables=1:          19
edge_variables>=1:         5
preprocess_safety:         0.0005376639310270548
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(1205000.1210000).V16.E23.mincyc8
23,23,5
time_default: 0.15918127004988492
solved_default: True
time_safety:               0.12032675603404641
edge_variables=1:          19
